RUN	conduitApp.performance.PerformanceTest	performancetest	1616162080713	| Performance test suite.	3.0.2
USER	Performance simulation	171	START	1616162124741	1616162124741
REQUEST	162		Create article: Third title	1616162124311	1616162124774	OK	 
USER	Performance simulation	162	END	1616162124302	1616162124774
REQUEST	160		Create article: First title	1616162124129	1616162124785	OK	 
REQUEST	163		Create article: First title	1616162124318	1616162124785	OK	 
USER	Performance simulation	163	END	1616162124311	1616162124786
USER	Performance simulation	160	END	1616162124122	1616162124786
REQUEST	161		Create article: Second title	1616162124221	1616162124831	OK	 
USER	Performance simulation	161	END	1616162124211	1616162124843
USER	Performance simulation	172	START	1616162124902	1616162124902
USER	Performance simulation	173	START	1616162124932	1616162124932
USER	Performance simulation	174	START	1616162124962	1616162124962
REQUEST	167		Create article: Second title	1616162124539	1616162124965	OK	 
USER	Performance simulation	167	END	1616162124533	1616162124966
REQUEST	164		Create article: Second title	1616162124368	1616162124972	OK	 
USER	Performance simulation	164	END	1616162124362	1616162124973
REQUEST	165		Create article: Third title	1616162124407	1616162125001	OK	 
USER	Performance simulation	165	END	1616162124400	1616162125003
USER	Performance simulation	175	START	1616162125011	1616162125011
REQUEST	166		Create article: First title	1616162124458	1616162125023	OK	 
USER	Performance simulation	166	END	1616162124451	1616162125023
USER	Performance simulation	176	START	1616162125042	1616162125042
USER	Performance simulation	177	START	1616162125092	1616162125092
USER	Performance simulation	178	START	1616162125111	1616162125111
REQUEST	168		Create article: Third title	1616162124709	1616162125135	OK	 
USER	Performance simulation	168	END	1616162124701	1616162125135
REQUEST	169		Create article: First title	1616162124720	1616162125136	OK	 
USER	Performance simulation	169	END	1616162124712	1616162125137
USER	Performance simulation	179	START	1616162125182	1616162125182
USER	Performance simulation	180	START	1616162125214	1616162125214
REQUEST	170		Create article: Second title	1616162124738	1616162125294	OK	 
USER	Performance simulation	170	END	1616162124732	1616162125295
USER	Performance simulation	181	START	1616162125301	1616162125301
USER	Performance simulation	182	START	1616162125342	1616162125342
REQUEST	172		Create article: First title	1616162124909	1616162125378	OK	 
USER	Performance simulation	172	END	1616162124902	1616162125378
REQUEST	171		Create article: Third title	1616162124748	1616162125384	OK	 
USER	Performance simulation	171	END	1616162124741	1616162125385
REQUEST	175		Create article: First title	1616162125022	1616162125424	OK	 
USER	Performance simulation	175	END	1616162125011	1616162125425
USER	Performance simulation	183	START	1616162125443	1616162125443
REQUEST	173		Create article: Second title	1616162124939	1616162125537	OK	 
USER	Performance simulation	173	END	1616162124932	1616162125538
USER	Performance simulation	184	START	1616162125551	1616162125551
REQUEST	174		Create article: Third title	1616162124974	1616162125562	OK	 
USER	Performance simulation	174	END	1616162124962	1616162125563
REQUEST	178		Create article: First title	1616162125121	1616162125586	OK	 
USER	Performance simulation	178	END	1616162125111	1616162125587
USER	Performance simulation	185	START	1616162125593	1616162125593
USER	Performance simulation	186	START	1616162125602	1616162125602
REQUEST	176		Create article: Second title	1616162125051	1616162125662	OK	 
USER	Performance simulation	176	END	1616162125042	1616162125662
REQUEST	177		Create article: Third title	1616162125101	1616162125703	OK	 
USER	Performance simulation	177	END	1616162125092	1616162125703
USER	Performance simulation	187	START	1616162125732	1616162125732
REQUEST	181		Create article: First title	1616162125310	1616162125759	OK	 
USER	Performance simulation	181	END	1616162125301	1616162125761
REQUEST	180		Create article: Third title	1616162125224	1616162125803	OK	 
USER	Performance simulation	180	END	1616162125214	1616162125804
REQUEST	179		Create article: Second title	1616162125190	1616162125819	OK	 
USER	Performance simulation	179	END	1616162125182	1616162125821
REQUEST	183		Create article: Third title	1616162125448	1616162125900	OK	 
USER	Performance simulation	183	END	1616162125443	1616162125901
REQUEST	182		Create article: Second title	1616162125351	1616162125919	OK	 
USER	Performance simulation	182	END	1616162125342	1616162125920
USER	Performance simulation	188	START	1616162125960	1616162125960
REQUEST	184		Create article: First title	1616162125564	1616162125991	OK	 
USER	Performance simulation	184	END	1616162125551	1616162125991
USER	Performance simulation	189	START	1616162126012	1616162126012
REQUEST	186		Create article: Third title	1616162125613	1616162126017	OK	 
USER	Performance simulation	186	END	1616162125602	1616162126017
REQUEST	185		Create article: Second title	1616162125605	1616162126031	OK	 
USER	Performance simulation	185	END	1616162125593	1616162126031
USER	Performance simulation	190	START	1616162126082	1616162126082
USER	Performance simulation	191	START	1616162126252	1616162126252
REQUEST	187		Create article: First title	1616162125738	1616162126306	OK	 
USER	Performance simulation	187	END	1616162125732	1616162126306
USER	Performance simulation	192	START	1616162126312	1616162126312
USER	Performance simulation	193	START	1616162126443	1616162126443
USER	Performance simulation	194	START	1616162126452	1616162126452
USER	Performance simulation	195	START	1616162126471	1616162126471
USER	Performance simulation	196	START	1616162126513	1616162126513
REQUEST	188		Create article: Second title	1616162125970	1616162126548	OK	 
USER	Performance simulation	188	END	1616162125960	1616162126549
USER	Performance simulation	197	START	1616162126582	1616162126582
USER	Performance simulation	198	START	1616162126582	1616162126582
REQUEST	189		Create article: Third title	1616162126023	1616162126587	OK	 
USER	Performance simulation	189	END	1616162126012	1616162126589
USER	Performance simulation	199	START	1616162126662	1616162126662
USER	Performance simulation	200	START	1616162126671	1616162126671
REQUEST	190		Create article: First title	1616162126093	1616162126679	OK	 
USER	Performance simulation	190	END	1616162126082	1616162126681
USER	Performance simulation	201	START	1616162126741	1616162126741
USER	Performance simulation	202	START	1616162126762	1616162126762
REQUEST	191		Create article: Second title	1616162126261	1616162126815	OK	 
USER	Performance simulation	191	END	1616162126252	1616162126816
USER	Performance simulation	203	START	1616162126922	1616162126922
REQUEST	195		Create article: Third title	1616162126480	1616162126942	OK	 
USER	Performance simulation	195	END	1616162126471	1616162126943
REQUEST	192		Create article: Third title	1616162126319	1616162126937	OK	 
USER	Performance simulation	192	END	1616162126312	1616162126944
REQUEST	194		Create article: Second title	1616162126458	1616162127002	OK	 
USER	Performance simulation	194	END	1616162126452	1616162127003
USER	Performance simulation	204	START	1616162127011	1616162127011
USER	Performance simulation	205	START	1616162127041	1616162127041
USER	Performance simulation	206	START	1616162127162	1616162127162
USER	Performance simulation	207	START	1616162127232	1616162127232
USER	Performance simulation	208	START	1616162127252	1616162127252
REQUEST	200		Create article: Second title	1616162126681	1616162127265	OK	 
USER	Performance simulation	200	END	1616162126671	1616162127266
REQUEST	199		Create article: First title	1616162126672	1616162127283	OK	 
USER	Performance simulation	199	END	1616162126662	1616162127283
REQUEST	193		Create article: First title	1616162126449	1616162127326	OK	 
USER	Performance simulation	193	END	1616162126443	1616162127327
USER	Performance simulation	209	START	1616162127351	1616162127351
USER	Performance simulation	210	START	1616162127372	1616162127372
REQUEST	196		Create article: First title	1616162126523	1616162127385	OK	 
USER	Performance simulation	196	END	1616162126513	1616162127387
REQUEST	202		Create article: First title	1616162126772	1616162127397	OK	 
USER	Performance simulation	202	END	1616162126762	1616162127400
REQUEST	197		Create article: Third title	1616162126602	1616162127421	OK	 
USER	Performance simulation	197	END	1616162126582	1616162127425
USER	Performance simulation	211	START	1616162127431	1616162127431
REQUEST	203		Create article: Second title	1616162126933	1616162127425	OK	 
USER	Performance simulation	203	END	1616162126922	1616162127433
REQUEST	198		Create article: Second title	1616162126601	1616162127444	OK	 
USER	Performance simulation	198	END	1616162126582	1616162127448
REQUEST	201		Create article: Third title	1616162126747	1616162127526	OK	 
USER	Performance simulation	201	END	1616162126741	1616162127527
REQUEST	205		Create article: First title	1616162127051	1616162127531	OK	 
USER	Performance simulation	205	END	1616162127041	1616162127550
USER	Performance simulation	212	START	1616162127551	1616162127551
USER	Performance simulation	213	START	1616162127561	1616162127561
REQUEST	204		Create article: Third title	1616162127020	1616162127586	OK	 
USER	Performance simulation	204	END	1616162127011	1616162127589
USER	Performance simulation	214	START	1616162127620	1616162127620
REQUEST	208		Create article: First title	1616162127261	1616162127704	OK	 
USER	Performance simulation	208	END	1616162127252	1616162127705
REQUEST	206		Create article: Second title	1616162127168	1616162127789	OK	 
USER	Performance simulation	206	END	1616162127162	1616162127790
REQUEST	207		Create article: Third title	1616162127240	1616162127847	OK	 
USER	Performance simulation	207	END	1616162127232	1616162127847
REQUEST	210		Create article: Third title	1616162127378	1616162128006	OK	 
USER	Performance simulation	210	END	1616162127372	1616162128007
REQUEST	209		Create article: Second title	1616162127359	1616162128021	OK	 
USER	Performance simulation	209	END	1616162127351	1616162128024
REQUEST	211		Create article: First title	1616162127440	1616162128025	OK	 
USER	Performance simulation	211	END	1616162127431	1616162128026
REQUEST	214		Create article: First title	1616162127627	1616162128052	OK	 
USER	Performance simulation	214	END	1616162127620	1616162128053
USER	Performance simulation	215	START	1616162128142	1616162128142
REQUEST	212		Create article: Second title	1616162127559	1616162128145	OK	 
USER	Performance simulation	212	END	1616162127551	1616162128148
USER	Performance simulation	216	START	1616162128201	1616162128201
REQUEST	213		Create article: Third title	1616162127569	1616162128208	OK	 
USER	Performance simulation	213	END	1616162127561	1616162128209
USER	Performance simulation	217	START	1616162128213	1616162128213
USER	Performance simulation	218	START	1616162128261	1616162128261
USER	Performance simulation	219	START	1616162128342	1616162128342
USER	Performance simulation	220	START	1616162128391	1616162128391
USER	Performance simulation	221	START	1616162128541	1616162128541
USER	Performance simulation	222	START	1616162128561	1616162128561
REQUEST	215		Create article: Second title	1616162128151	1616162128564	OK	 
USER	Performance simulation	215	END	1616162128142	1616162128565
USER	Performance simulation	223	START	1616162128581	1616162128581
USER	Performance simulation	224	START	1616162128651	1616162128651
USER	Performance simulation	225	START	1616162128753	1616162128753
REQUEST	217		Create article: First title	1616162128223	1616162128764	OK	 
USER	Performance simulation	217	END	1616162128213	1616162128765
REQUEST	216		Create article: Third title	1616162128207	1616162128766	OK	 
USER	Performance simulation	216	END	1616162128201	1616162128767
USER	Performance simulation	226	START	1616162128782	1616162128782
REQUEST	219		Create article: Third title	1616162128350	1616162128790	OK	 
USER	Performance simulation	219	END	1616162128342	1616162128790
USER	Performance simulation	227	START	1616162128792	1616162128792
USER	Performance simulation	228	START	1616162128823	1616162128823
USER	Performance simulation	229	START	1616162128841	1616162128841
REQUEST	220		Create article: First title	1616162128402	1616162128862	OK	 
USER	Performance simulation	220	END	1616162128391	1616162128863
USER	Performance simulation	230	START	1616162128872	1616162128872
REQUEST	218		Create article: Second title	1616162128270	1616162128882	OK	 
USER	Performance simulation	218	END	1616162128261	1616162128883
USER	Performance simulation	231	START	1616162128931	1616162128931
USER	Performance simulation	232	START	1616162128962	1616162128962
REQUEST	223		Create article: First title	1616162128587	1616162129020	OK	 
USER	Performance simulation	223	END	1616162128581	1616162129020
USER	Performance simulation	233	START	1616162129052	1616162129052
USER	Performance simulation	234	START	1616162129062	1616162129062
USER	Performance simulation	235	START	1616162129142	1616162129142
USER	Performance simulation	236	START	1616162129162	1616162129162
USER	Performance simulation	237	START	1616162129192	1616162129192
USER	Performance simulation	238	START	1616162129192	1616162129192
REQUEST	221		Create article: Second title	1616162128550	1616162129191	OK	 
USER	Performance simulation	221	END	1616162128541	1616162129194
REQUEST	222		Create article: Third title	1616162128570	1616162129203	OK	 
USER	Performance simulation	222	END	1616162128561	1616162129203
REQUEST	224		Create article: Second title	1616162128656	1616162129232	OK	 
USER	Performance simulation	224	END	1616162128651	1616162129234
USER	Performance simulation	239	START	1616162129252	1616162129252
USER	Performance simulation	240	START	1616162129332	1616162129332
REQUEST	226		Create article: First title	1616162128787	1616162129476	OK	 
USER	Performance simulation	226	END	1616162128782	1616162129477
USER	Performance simulation	241	START	1616162129491	1616162129491
USER	Performance simulation	242	START	1616162129501	1616162129501
REQUEST	225		Create article: Third title	1616162128760	1616162129506	OK	 
USER	Performance simulation	225	END	1616162128753	1616162129511
REQUEST	228		Create article: Third title	1616162128828	1616162129516	OK	 
USER	Performance simulation	228	END	1616162128823	1616162129519
REQUEST	229		Create article: First title	1616162128849	1616162129517	OK	 
USER	Performance simulation	229	END	1616162128841	1616162129522
REQUEST	227		Create article: Second title	1616162128803	1616162129543	OK	 
USER	Performance simulation	227	END	1616162128792	1616162129544
USER	Performance simulation	243	START	1616162129591	1616162129591
USER	Performance simulation	244	START	1616162129613	1616162129613
USER	Performance simulation	245	START	1616162129632	1616162129632
REQUEST	232		Create article: First title	1616162128969	1616162129703	OK	 
USER	Performance simulation	232	END	1616162128962	1616162129704
REQUEST	231		Create article: Third title	1616162128938	1616162129705	OK	 
USER	Performance simulation	231	END	1616162128931	1616162129706
REQUEST	238		Create article: First title	1616162129201	1616162129761	OK	 
USER	Performance simulation	238	END	1616162129192	1616162129764
REQUEST	230		Create article: Second title	1616162128878	1616162129799	OK	 
USER	Performance simulation	230	END	1616162128872	1616162129800
REQUEST	233		Create article: Second title	1616162129058	1616162129808	OK	 
USER	Performance simulation	233	END	1616162129052	1616162129809
REQUEST	235		Create article: First title	1616162129150	1616162129808	OK	 
USER	Performance simulation	235	END	1616162129142	1616162129812
USER	Performance simulation	246	START	1616162129832	1616162129832
REQUEST	234		Create article: Third title	1616162129071	1616162129867	OK	 
USER	Performance simulation	234	END	1616162129062	1616162129881
USER	Performance simulation	248	START	1616162129882	1616162129882
USER	Performance simulation	247	START	1616162129882	1616162129882
REQUEST	239		Create article: Second title	1616162129261	1616162129894	OK	 
USER	Performance simulation	239	END	1616162129252	1616162129894
REQUEST	237		Create article: Third title	1616162129200	1616162129899	OK	 
USER	Performance simulation	237	END	1616162129192	1616162129903
REQUEST	240		Create article: Third title	1616162129338	1616162129961	OK	 
USER	Performance simulation	240	END	1616162129332	1616162129962
REQUEST	236		Create article: Second title	1616162129168	1616162129979	OK	 
USER	Performance simulation	236	END	1616162129162	1616162129979
REQUEST	241		Create article: First title	1616162129498	1616162129995	OK	 
USER	Performance simulation	241	END	1616162129491	1616162129995
REQUEST	243		Create article: Third title	1616162129606	1616162130069	OK	 
USER	Performance simulation	243	END	1616162129591	1616162130069
REQUEST	242		Create article: Second title	1616162129508	1616162130093	OK	 
USER	Performance simulation	242	END	1616162129501	1616162130094
REQUEST	244		Create article: First title	1616162129623	1616162130231	OK	 
USER	Performance simulation	244	END	1616162129613	1616162130231
REQUEST	245		Create article: Second title	1616162129639	1616162130273	OK	 
USER	Performance simulation	245	END	1616162129632	1616162130273
REQUEST	248		Create article: Second title	1616162129895	1616162130322	OK	 
USER	Performance simulation	248	END	1616162129882	1616162130323
REQUEST	246		Create article: Third title	1616162129839	1616162130412	OK	 
USER	Performance simulation	246	END	1616162129832	1616162130413
REQUEST	247		Create article: First title	1616162129894	1616162130453	OK	 
USER	Performance simulation	247	END	1616162129882	1616162130454
USER	Performance simulation	249	START	1616162132231	1616162132231
REQUEST	249		Create article: Third title	1616162132237	1616162132645	OK	 
USER	Performance simulation	249	END	1616162132231	1616162132645
USER	Performance simulation	250	START	1616162134042	1616162134042
REQUEST	250		Create article: First title	1616162134050	1616162134628	OK	 
USER	Performance simulation	250	END	1616162134042	1616162134628
USER	Performance simulation	251	START	1616162135722	1616162135722
REQUEST	251		Create article: Second title	1616162135728	1616162136542	OK	 
USER	Performance simulation	251	END	1616162135722	1616162136544
USER	Performance simulation	252	START	1616162137532	1616162137532
REQUEST	252		Create article: Third title	1616162137540	1616162138153	OK	 
USER	Performance simulation	252	END	1616162137532	1616162138153
